#Object#	Area	Perimeter
0:0:1	215	52.63
0:0:2	1	0.00
0:0:3	281	61.28
0:0:4	3	3.41
0:0:5	858	112.67
0:0:6	555	86.18
0:0:7	543	85.60
0:0:8	472	88.77
0:0:9	613	92.74
0:0:10	170	46.63
0:0:11	578	87.94
0:0:12	652	92.94
0:0:13	379	70.53
0:0:14	902	130.57
0:0:15	377	70.87
0:0:16	415	75.53
0:0:17	244	56.46
0:0:18	413	74.28
0:0:19	167	45.97
0:0:20	239	55.04
0:0:21	610	111.25
0:0:22	641	106.25
0:0:23	593	88.18
0:0:24	545	86.43
0:0:25	195	50.04
0:0:26	361	68.70
0:0:27	14	10.83
0:0:28	676	102.84
0:0:29	289	61.46
0:0:30	412	74.11
0:0:31	260	58.28
0:0:32	426	86.01
0:0:33	425	76.77
0:0:34	271	61.11
0:0:35	159	45.21
0:0:36	401	85.43
0:0:37	520	83.18
0:0:38	448	77.36
0:0:39	660	96.84
0:0:40	228	53.83
0:0:41	99	34.14
0:0:42	501	81.18
0:0:43	278	62.25
0:0:44	231	54.21
0:0:45	81	30.69
0:0:46	285	61.11
0:0:47
0:0:48
0:0:49
0:0:50	10	20
0:0:51
0:0:52
0:0:53	20	
0:0:54		30
0:0:55	30	40
0:0:56	-1	-2
0:0:57	-10	-3
